gameorder,game_id,lg_id,_iscopy,variable,date_game,group,is_playoffs,team_id,fran_id,pts,elo_i,value,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
18018,197610220PHI,NBA,1,1977,10/22/1976,1,0,SAS,Spurs,121,1592.7972,1598.4105,50.862846,PHI,Sixers,118,1493.9004,1488.2871,A,W,0.49841243,NULL
18026,197610230NYK,NBA,1,1977,10/23/1976,2,0,SAS,Spurs,98,1598.4105,1581.7777,49.203114,NYK,Knicks,117,1484.3785,1501.0114,A,L,0.52018267,NULL
18031,197610260ATL,NBA,1,1977,10/26/1976,3,0,SAS,Spurs,114,1581.7777,1568.9656,47.904926,ATL,Hawks,122,1376.9735,1389.7856,A,L,0.6464113,NULL
18041,197610270SAS,NBA,0,1977,10/27/1976,4,0,SAS,Spurs,115,1568.9656,1573.8438,48.401043,PHO,Suns,106,1507.4357,1502.5575,H,W,0.71704298,NULL
18047,197610290KCK,NBA,1,1977,10/29/1976,5,0,SAS,Spurs,102,1573.8438,1550.5454,46.013927,KCK,Kings,130,1441.9292,1465.2275,A,L,0.54579997,NULL
18061,197610300SAS,NBA,0,1977,10/30/1976,6,0,SAS,Spurs,117,1550.5454,1538.0812,44.721436,BOS,Celtics,126,1577.9017,1590.366,H,L,0.6030454,NULL
18073,197611030IND,NBA,1,1977,11/3/1976,7,0,SAS,Spurs,97,1538.0812,1527.3567,43.603249,IND,Pacers,113,1506.7924,1517.5168,A,L,0.40238595,NULL
18085,197611050NOJ,NBA,1,1977,11/5/1976,8,0,SAS,Spurs,119,1527.3567,1520.6377,42.900597,NOJ,Jazz,127,1503.25,1509.969,A,L,0.39248538,NULL
18094,197611060SAS,NBA,0,1977,11/6/1976,9,0,SAS,Spurs,113,1520.6377,1530.6755,43.94978,IND,Pacers,94,1509.7701,1499.7323,H,W,0.6543476,NULL
18108,197611090SAS,NBA,0,1977,11/9/1976,10,0,SAS,Spurs,138,1530.6755,1540.6697,44.990555,SEA,Thunder,114,1483.4414,1473.4473,H,W,0.7000525,NULL
