year_id,date_game,group,variable,seasongame,pts,elo_i,value,win_equiv,opp_id,opp_pts,game_location,game_result
2014,10/30/2013,Week 1,1,1,101,1660.6224,1665.2632,56.982845,MEM,94,H,W
2014,11/1/2013,Week 1,2,2,91,1665.2632,1671.4948,57.533707,LAL,85,A,W
2014,11/2/2013,Week 1,3,3,105,1671.4948,1656.1182,56.162014,POR,115,A,L
2014,11/5/2013,Week 1,4,4,102,1656.1182,1665.9697,57.045654,DEN,94,A,W
2014,11/6/2013,Week 1,5,5,99,1665.9697,1666.994,57.136547,PHO,96,H,W
2014,11/8/2013,Week 1,6,6,76,1666.994,1669.3708,57.346741,GSW,74,H,W
2014,11/10/2013,Week 1,7,7,120,1669.3708,1690.4374,59.164433,NYK,89,A,W
2014,11/11/2013,Week 2,1,8,109,1690.4374,1700.7535,60.023903,PHI,85,A,W
2014,11/13/2013,Week 2,2,9,92,1700.7535,1703.109,60.217243,WAS,79,H,W
2014,11/15/2013,Week 2,3,10,91,1703.109,1708.1144,60.624474,UTA,82,A,W
2014,11/20/2013,Week 2,4,11,104,1708.1144,1709.9102,60.769367,BOS,93,H,W
2014,11/22/2013,Week 2,5,12,102,1709.9102,1723.0765,61.812031,MEM,86,A,W
2014,11/23/2013,Week 2,6,13,126,1723.0765,1725.0453,61.964939,CLE,96,H,W
2014,11/25/2013,Week 2,7,14,112,1725.0453,1727.5481,62.158192,NOP,93,H,W
2014,11/27/2013,Week 3,1,15,88,1727.5481,1720.4573,61.607384,OKC,94,A,L
2014,11/29/2013,Week 3,2,16,109,1720.4573,1725.4296,61.994694,ORL,91,A,W
2014,11/30/2013,Week 3,3,17,106,1725.4296,1710.6921,60.83226,HOU,112,H,L
2014,12/2/2013,Week 3,4,18,102,1710.6921,1711.6464,60.908844,ATL,100,H,W
2014,12/7/2013,Week 3,5,19,100,1711.6464,1694.1581,59.476788,IND,111,H,L
2014,12/10/2013,Week 3,6,20,116,1694.1581,1701.8285,60.112274,TOR,103,A,W
2014,12/11/2013,Week 3,7,21,109,1701.8285,1709.3925,60.727661,MIL,77,A,W
2014,12/13/2013,Week 4,1,22,117,1709.3925,1711.7289,60.915459,MIN,110,H,W
2014,12/14/2013,Week 4,2,23,100,1711.7289,1718.5996,61.461399,UTA,84,A,W
2014,12/16/2013,Week 4,3,24,92,1718.5996,1700.9313,60.038532,LAC,115,A,L
2014,12/18/2013,Week 4,4,25,108,1700.9313,1706.1635,60.466335,PHO,101,A,W
2014,12/19/2013,Week 4,5,26,104,1706.1635,1710.394,60.8083,GSW,102,A,W
